x,y,z
"-0,5520671824","-0,5690101085","-0,8828913862"
"-0,5281292422","-0,5583836269","-0,9059993308"
"-0,5038070387","-0,5477794576","-0,9284164365"
"-0,4790737265","-0,5372699347","-0,9501296539"
"-0,4539005363","-0,5268832354","-0,9711307404"
"-0,4282586989","-0,516647537","-0,9914114534"
"-0,4021194451","-0,5065910167","-1,01096355"
"-0,3754540056","-0,4967418519","-1,029778788"
"-0,3482336113","-0,4871282196","-1,047848925"
"-0,3204299323","-0,4777649512","-1,065167679"
"-0,292012439","-0,4686758276","-1,081727205"
"-0,2629521203","-0,4598649317","-1,097523341"
"-0,2332205141","-0,4513285531","-1,112553195"
"-0,2027891585","-0,4430629815","-1,126813872"
"-0,1716295914","-0,4350645066","-1,14030248"
"-0,1397133507","-0,4273294179","-1,153016124"
"-0,1070121886","-0,4198497761","-1,164950593"
"-0,07349810681","-0,4126147246","-1,176105128"
"-0,03914279608","-0,4056166936","-1,186482062"
"-0,003918750624","-0,3988304103","-1,196076905"
"0,03220153534","-0,3922306014","-1,204885163"
"0,06924556759","-0,385791994","-1,212902346"
"0,1072408519","-0,3794893151","-1,220123962"
"0,1462148941","-0,3732972915","-1,22654552"
"0,1861919702","-0,3671488844","-1,23211818"
"0,2272043913","-0,3610741556","-1,236909857"
"0,2692791437","-0,3550248389","-1,240897731"
"0,3124423941","-0,348941788","-1,24404658"
"0,3567203089","-0,3427658565","-1,246321179"
"0,4021390547","-0,3364378981","-1,247686305"
"0,4487247981","-0,3298987665","-1,248106734"
"0,4965037055","-0,3230893153","-1,247547242"
"0,5455019436","-0,3159503982","-1,245972606"
"0,595738516","-0,3083830053","-1,243297336"
"0,6472480688","-0,3003523964","-1,239520279"
"0,7000562571","-0,2917716287","-1,2345746"
"0,7541767936","-0,2824913788","-1,228314177"
"0,809623391","-0,2723623237","-1,220592888"
"0,8664097617","-0,2612351401","-1,211264613"
"0,9245496185","-0,2489605048","-1,200183231"
"0,9840510663","-0,2353654632","-1,187174061"
"1,044921601","-0,2202529894","-1,172033637"
"1,107145152","-0,2033397307","-1,154453887"
"1,170695121","-0,1843050194","-1,134081525"
"1,235531573","-0,1627913106","-1,110519045"
"1,301630833","-0,138461751","-1,083394757"
